ote 0x0F, read back 0x0F OK
  CTRL3: wrote 0x41, read back 0x41 OK
  CTRL4: wrote 0x1E, read back 0x1E OK
  CTRL5: wrote 0x0F, read back 0x0F OK
Taring - collecting 2000 samples:
  sample    1:    10965  (running sum:     10965, n_ok: 1)
  sample    2:    10822  (running sum:     21787, n_ok: 2)
  sample    3:    10798  (running sum:     32585, n_ok: 3)
  sample    4:    10899  (running sum:     43484, n_ok: 4)
  sample    5:    10887  (running sum:     54371, n_ok: 5)
  sample    6:    10865  (running sum:     65236, n_ok: 6)
  sample    7:    10706  (running sum:     75942, n_ok: 7)
  sample    8:     9986  (running sum:     85928, n_ok: 8)
  sample    9:     9351  (running sum:     95279, n_ok: 9)
  sample   10:     9540  (running sum:    104819, n_ok: 10)
  sample   11:     9577  (running sum:    114396, n_ok: 11)
  sample   12:     9554  (running sum:    123950, n_ok: 12)
  sample   13:     9872  (running sum:    133822, n_ok: 13)
  sample   14:    10012  (running sum:    143834, n_ok: 14)
  sample   15:     9885  (running sum:    153719, n_ok: 15)
  sample   16:     9751  (running sum:    163470, n_ok: 16)
  sample   17:     9867  (running sum:    173337, n_ok: 17)
  sample   18:     9898  (running sum:    183235, n_ok: 18)
  sample   19:    10014  (running sum:    193249, n_ok: 19)
  sample   20:    10058  (running sum:    203307, n_ok: 20)
  sample   21:    10031  (running sum:    213338, n_ok: 21)
  sample   22:     9956  (running sum:    223294, n_ok: 22)
  sample   23:    10023  (running sum:    233317, n_ok: 23)
  sample   24:    10113  (running sum:    243430, n_ok: 24)
  sample   25:    10729  (running sum:    254159, n_ok: 25)
  sample   26:    11094  (running sum:    265253, n_ok: 26)
  sample   27:    11099  (running sum:    276352, n_ok: 27)
  sample   28:    11143  (running sum:    287495, n_ok: 28)
  sample   29:    10721  (running sum:    298216, n_ok: 29)
  sample   30:    10690  (running sum:    308906, n_ok: 30)
  sample   31:    10731  (running sum:    319637, n_ok: 31)
  sample   32:    10667  (running sum:    330304, n_ok: 32)
  sample   33:    10866  (running sum:    341170, n_ok: 33)
  sample   34:    10951  (running sum:    352121, n_ok: 34)
  sample   35:    10935  (running sum:    363056, n_ok: 35)
  sample   36:    10900  (running sum:    373956, n_ok: 36)
  sample   37:    10913  (running sum:    384869, n_ok: 37)
  sample   38:    10976  (running sum:    395845, n_ok: 38)
  sample   39:    11008  (running sum:    406853, n_ok: 39)
  sample   40:    11127  (running sum:    417980, n_ok: 40)
  sample   41:    10733  (running sum:    428713, n_ok: 41)
  sample   42:    10118  (running sum:    438831, n_ok: 42)
  sample   43:    10394  (running sum:    449225, n_ok: 43)
  sample   44:    10446  (running sum:    459671, n_ok: 44)
  sample   45:    10447  (running sum:    470118, n_ok: 45)
  sample   46:    11021  (running sum:    481139, n_ok: 46)
  sample   47:    11026  (running sum:    492165, n_ok: 47)
  sample   48:    11024  (running sum:    503189, n_ok: 48)
  sample   49:    10983  (running sum:    514172, n_ok: 49)
  sample   50:    10963  (running sum:    525135, n_ok: 50)
  sample   51:    11060  (running sum:    536195, n_ok: 51)
  sample   52:    11081  (running sum:    547276, n_ok: 52)
  sample   53:    10976  (running sum:    558252, n_ok: 53)
  sample   54:    11060  (running sum:    569312, n_ok: 54)
  sample   55:    10943  (running sum:    580255, n_ok: 55)
  sample   56:    10942  (running sum:    591197, n_ok: 56)
  sample   57:    10717  (running sum:    601914, n_ok: 57)
  sample   58:    10854  (running sum:    612768, n_ok: 58)
  sample   59:    11774  (running sum:    624542, n_ok: 59)
  sample   60:    11475  (running sum:    636017, n_ok: 60)
  sample   61:    11242  (running sum:    647259, n_ok: 61)
  sample   62:    11131  (running sum:    658390, n_ok: 62)
  sample   63:    10721  (running sum:    669111, n_ok: 63)
  sample   64:    10482  (running sum:    679593, n_ok: 64)
  sample   65:    10428  (running sum:    690021, n_ok: 65)
  sample   66:    10357  (running sum:    700378, n_ok: 66)
  sample   67:    10416  (running sum:    710794, n_ok: 67)
  sample   68:    10393  (running sum:    721187, n_ok: 68)
  sample   69:    10184  (running sum:    731371, n_ok: 69)
  sample   70:    10263  (running sum:    741634, n_ok: 70)
  sample   71:    10301  (running sum:    751935, n_ok: 71)
  sample   72:    10494  (running sum:    762429, n_ok: 72)
  sample   73:    10445  (running sum:    772874, n_ok: 73)
  sample   74:    10323  (running sum:    783197, n_ok: 74)
  sample   75:     9836  (running sum:    793033, n_ok: 75)
  sample   76:     9507  (running sum:    802540, n_ok: 76)
  sample   77:     9698  (running sum:    812238, n_ok: 77)
  sample   78:    10137  (running sum:    822375, n_ok: 78)
  sample   79:    10516  (running sum:    832891, n_ok: 79)
  sample   80:    10763  (running sum:    843654, n_ok: 80)
  sample   81:    10757  (running sum:    854411, n_ok: 81)
  sample   82:    10613  (running sum:    865024, n_ok: 82)
  sample   83:    10649  (running sum:    875673, n_ok: 83)
  sample   84:    10964  (running sum:    886637, n_ok: 84)
  sample   85:    11088  (running sum:    897725, n_ok: 85)
  sample   86:    11127  (running sum:    908852, n_ok: 86)
  sample   87:    10969  (running sum:    919821, n_ok: 87)
  sample   88:    11052  (running sum:    930873, n_ok: 88)
  sample   89:    11042  (running sum:    941915, n_ok: 89)
  sample   90:    11055  (running sum:    952970, n_ok: 90)
  sample   91:    11162  (running sum:    964132, n_ok: 91)
  sample   92:    11762  (running sum:    975894, n_ok: 92)
  sample   93:    11599  (running sum:    987493, n_ok: 93)
  sample   94:    11480  (running sum:    998973, n_ok: 94)
  sample   95:    11191  (running sum:   1010164, n_ok: 95)
  sample   96:    10753  (running sum:   1020917, n_ok: 96)
  sample   97:    10792  (running sum:   1031709, n_ok: 97)
  sample   98:    10546  (running sum:   1042255, n_ok: 98)
  sample   99:    10519  (running sum:   1052774, n_ok: 99)
  sample  100:    10759  (running sum:   1063533, n_ok: 100)
  sample  101:    10756  (running sum:   1074289, n_ok: 101)
  sample  102:    10691  (running sum:   1084980, n_ok: 102)
  sample  103:    10501  (running sum:   1095481, n_ok: 103)
  sample  104:    10188  (running sum:   1105669, n_ok: 104)
  sample  105:    10081  (running sum:   1115750, n_ok: 105)
  sample  106:    10003  (running sum:   1125753, n_ok: 106)
  sample  107:    10315  (running sum:   1136068, n_ok: 107)
  sample  108:     9745  (running sum:   1145813, n_ok: 108)
  sample  109:     9195  (running sum:   1155008, n_ok: 109)
  sample  110:     9378  (running sum:   1164386, n_ok: 110)
  sample  111:     9710  (running sum:   1174096, n_ok: 111)
  sample  112:    10009  (running sum:   1184105, n_ok: 112)
  sample  113:    10534  (running sum:   1194639, n_ok: 113)
  sample  114:    10575  (running sum:   1205214, n_ok: 114)
  sample  115:    10494  (running sum:   1215708, n_ok: 115)
  sample  116:    10400  (running sum:   1226108, n_ok: 116)
  sample  117:    10518  (running sum:   1236626, n_ok: 117)
  sample  118:    10572  (running sum:   1247198, n_ok: 118)
  sample  119:    10736  (running sum:   1257934, n_ok: 119)
  sample  120:    10674  (running sum:   1268608, n_ok: 120)
  sample  121:    10872  (running sum:   1279480, n_ok: 121)
  sample  122:    10888  (running sum:   1290368, n_ok: 122)
  sample  123:    10939  (running sum:   1301307, n_ok: 123)
  sample  124:    10919  (running sum:   1312226, n_ok: 124)
  sample  125:    11273  (running sum:   1323499, n_ok: 125)
  sample  126:    11933  (running sum:   1335432, n_ok: 126)
  sample  127:    11667  (running sum:   1347099, n_ok: 127)
  sample  128:    11508  (running sum:   1358607, n_ok: 128)
  sample  129:    11114  (running sum:   1369721, n_ok: 129)
  sample  130:    10846  (running sum:   1380567, n_ok: 130)
  sample  131:    10597  (running sum:   1391164, n_ok: 131)
  sample  132:    10561  (running sum:   1401725, n_ok: 132)
  sample  133:    10671  (running sum:   1412396, n_ok: 133)
  sample  134:    10643  (running sum:   1423039, n_ok: 134)
  sample  135:    10647  (running sum:   1433686, n_ok: 135)
  sample  136:    10564  (running sum:   1444250, n_ok: 136)
  sample  137:    10554  (running sum:   1454804, n_ok: 137)
  sample  138:    10486  (running sum:   1465290, n_ok: 138)
  sample  139:    10363  (running sum:   1475653, n_ok: 139)
  sample  140:    10320  (running sum:   1485973, n_ok: 140)
  sample  141:    10089  (running sum:   1496062, n_ok: 141)
  sample  142:     9611  (running sum:   1505673, n_ok: 142)
  sample  143:     9508  (running sum:   1515181, n_ok: 143)
  sample  144:     9634  (running sum:   1524815, n_ok: 144)
  sample  145:     9872  (running sum:   1534687, n_ok: 145)
  sample  146:    10488  (running sum:   1545175, n_ok: 146)
  sample  147:    10745  (running sum:   1555920, n_ok: 147)
  sample  148:    10900  (running sum:   1566820, n_ok: 148)
  sample  149:    10955  (running sum:   1577775, n_ok: 149)
  sample  150:    10936  (running sum:   1588711, n_ok: 150)
  sample  151:    10889  (running sum:   1599600, n_ok: 151)
  sample  152:    10922  (running sum:   1610522, n_ok: 152)
  sample  153:    10821  (running sum:   1621343, n_ok: 153)
  sample  154:    10924  (running sum:   1632267, n_ok: 154)
  sample  155:    10973  (running sum:   1643240, n_ok: 155)
  sample  156:    11122  (running sum:   1654362, n_ok: 156)
  sample  157:    11100  (running sum:   1665462, n_ok: 157)
  sample  158:    11286  (running sum:   1676748, n_ok: 158)
  sample  159:    12227  (running sum:   1688975, n_ok: 159)
  sample  160:    12032  (running sum:   1701007, n_ok: 160)
  sample  161:    11932  (running sum:   1712939, n_ok: 161)
  sample  162:    11552  (running sum:   1724491, n_ok: 162)
  sample  163:    10899  (running sum:   1735390, n_ok: 163)
  sample  164:    10836  (running sum:   1746226, n_ok: 164)
  sample  165:    10735  (running sum:   1756961, n_ok: 165)
  sample  166:    10598  (running sum:   1767559, n_ok: 166)
  sample  167:    10769  (running sum:   1778328, n_ok: 167)
  sample  168:    10699  (running sum:   1789027, n_ok: 168)
  sample  169:    10753  (running sum:   1799780, n_ok: 169)
  sample  170:    10832  (running sum:   1810612, n_ok: 170)
  sample  171:    10583  (running sum:   1821195, n_ok: 171)
  sample  172:    10660  (running sum:   1831855, n_ok: 172)
  sample  173:    10474  (running sum:   1842329, n_ok: 173)
  sample  174:    10423  (running sum:   1852752, n_ok: 174)
  sample  175:     9875  (running sum:   1862627, n_ok: 175)
  sample  176:     9389  (running sum:   1872016, n_ok: 176)
