ote 0x0F, read back 0x0F OK
  CTRL3: wrote 0x41, read back 0x41 OK
  CTRL4: wrote 0x1E, read back 0x1E OK
  CTRL5: wrote 0x0F, read back 0x0F OK
Boot tare - collecting 20000 fresh samples:
  sample    1:    10793  (running sum:     10793, n_ok: 1)
  sample    2:    10665  (running sum:     21458, n_ok: 2)
  sample    3:    10650  (running sum:     32108, n_ok: 3)
  sample    4:    10694  (running sum:     42802, n_ok: 4)
  sample    5:    10567  (running sum:     53369, n_ok: 5)
  sample    6:    10468  (running sum:     63837, n_ok: 6)
  sample    7:    10648  (running sum:     74485, n_ok: 7)
  sample    8:    10084  (running sum:     84569, n_ok: 8)
  sample    9:     9731  (running sum:     94300, n_ok: 9)
  sample   10:     9898  (running sum:    104198, n_ok: 10)
  sample   11:     9872  (running sum:    114070, n_ok: 11)
  sample   12:    10153  (running sum:    124223, n_ok: 12)
  sample   13:    10453  (running sum:    134676, n_ok: 13)
  sample   14:    10775  (running sum:    145451, n_ok: 14)
  sample   15:    10768  (running sum:    156219, n_ok: 15)
  sample   16:    10771  (running sum:    166990, n_ok: 16)
  sample   17:    10900  (running sum:    177890, n_ok: 17)
  sample   18:    10804  (running sum:    188694, n_ok: 18)
  sample   19:    10912  (running sum:    199606, n_ok: 19)
  sample   20:    10879  (running sum:    210485, n_ok: 20)
  sample   21:    10902  (running sum:    221387, n_ok: 21)
  sample   22:    10818  (running sum:    232205, n_ok: 22)
  sample   23:    10773  (running sum:    242978, n_ok: 23)
  sample   24:    10886  (running sum:    253864, n_ok: 24)
  sample   25:    11306  (running sum:    265170, n_ok: 25)
  sample   26:    11978  (running sum:    277148, n_ok: 26)
  sample   27:    11806  (running sum:    288954, n_ok: 27)
  sample   28:    11641  (running sum:    300595, n_ok: 28)
  sample   29:    11572  (running sum:    312167, n_ok: 29)
  sample   30:    11164  (running sum:    323331, n_ok: 30)
  sample   31:    11050  (running sum:    334381, n_ok: 31)
  sample   32:    10880  (running sum:    345261, n_ok: 32)
  sample   33:    10944  (running sum:    356205, n_ok: 33)
  sample   34:    10893  (running sum:    367098, n_ok: 34)
  sample   35:    10868  (running sum:    377966, n_ok: 35)
  sample   36:    10689  (running sum:    388655, n_ok: 36)
  sample   37:    10735  (running sum:    399390, n_ok: 37)
  sample   38:    10740  (running sum:    410130, n_ok: 38)
  sample   39:    10684  (running sum:    420814, n_ok: 39)
  sample   40:    10684  (running sum:    431498, n_ok: 40)
  sample   41:    10445  (running sum:    441943, n_ok: 41)
  sample   42:    10063  (running sum:    452006, n_ok: 42)
  sample   43:     9869  (running sum:    461875, n_ok: 43)
  sample   44:     9967  (running sum:    471842, n_ok: 44)
  sample   45:    10100  (running sum:    481942, n_ok: 45)
  sample   46:    10466  (running sum:    492408, n_ok: 46)
  sample   47:    10771  (running sum:    503179, n_ok: 47)
  sample   48:    10841  (running sum:    514020, n_ok: 48)
  sample   49:    10930  (running sum:    524950, n_ok: 49)
  sample   50:    10920  (running sum:    535870, n_ok: 50)
  sample   51:    10919  (running sum:    546789, n_ok: 51)
  sample   52:    10984  (running sum:    557773, n_ok: 52)
  sample   53:    11011  (running sum:    568784, n_ok: 53)
  sample   54:    11043  (running sum:    579827, n_ok: 54)
  sample   55:    10991  (running sum:    590818, n_ok: 55)
  sample   56:    10992  (running sum:    601810, n_ok: 56)
  sample   57:    10889  (running sum:    612699, n_ok: 57)
  sample   58:    11134  (running sum:    623833, n_ok: 58)
  sample   59:    12005  (running sum:    635838, n_ok: 59)
  sample   60:    11941  (running sum:    647779, n_ok: 60)
  sample   61:    11687  (running sum:    659466, n_ok: 61)
  sample   62:    11627  (running sum:    671093, n_ok: 62)
  sample   63:    11057  (running sum:    682150, n_ok: 63)
  sample   64:    11055  (running sum:    693205, n_ok: 64)
  sample   65:    10911  (running sum:    704116, n_ok: 65)
  sample   66:    10804  (running sum:    714920, n_ok: 66)
  sample   67:    10672  (running sum:    725592, n_ok: 67)
  sample   68:    10662  (running sum:    736254, n_ok: 68)
  sample   69:    10486  (running sum:    746740, n_ok: 69)
  sample   70:    10549  (running sum:    757289, n_ok: 70)
  sample   71:    10546  (running sum:    767835, n_ok: 71)
  sample   72:    10491  (running sum:    778326, n_ok: 72)
  sample   73:    10479  (running sum:    788805, n_ok: 73)
  sample   74:    10471  (running sum:    799276, n_ok: 74)
  sample   75:    10150  (running sum:    809426, n_ok: 75)
  sample   76:     9599  (running sum:    819025, n_ok: 76)
  sample   77:     9688  (running sum:    828713, n_ok: 77)
  sample   78:     9900  (running sum:    838613, n_ok: 78)
  sample   79:    10085  (running sum:    848698, n_ok: 79)
  sample   80:    10553  (running sum:    859251, n_ok: 80)
  sample   81:    10795  (running sum:    870046, n_ok: 81)
  sample   82:    10795  (running sum:    880841, n_ok: 82)
  sample   83:    10829  (running sum:    891670, n_ok: 83)
  sample   84:    10902  (running sum:    902572, n_ok: 84)
  sample   85:    10800  (running sum:    913372, n_ok: 85)
  sample   86:    10984  (running sum:    924356, n_ok: 86)
  sample   87:    10906  (running sum:    935262, n_ok: 87)
  sample   88:    10975  (running sum:    946237, n_ok: 88)
  sample   89:    10859  (running sum:    957096, n_ok: 89)
  sample   90:    10991  (running sum:    968087, n_ok: 90)
  sample   91:    11009  (running sum:    979096, n_ok: 91)
  sample   92:    11390  (running sum:    990486, n_ok: 92)
  sample   93:    12091  (running sum:   1002577, n_ok: 93)
  sample   94:    11770  (running sum:   1014347, n_ok: 94)
  sample   95:    11714  (running sum:   1026061, n_ok: 95)
  sample   96:    11485  (running sum:   1037546, n_ok: 96)
  sample   97:    11141  (running sum:   1048687, n_ok: 97)
  sample   98:    10950  (running sum:   1059637, n_ok: 98)
  sample   99:    11000  (running sum:   1070637, n_ok: 99)
  sample  100:    10955  (running sum:   1081592, n_ok: 100)
  sample  101:    10897  (running sum:   1092489, n_ok: 101)
  sample  102:    10810  (running sum:   1103299, n_ok: 102)
  sample  103:    10677  (running sum:   1113976, n_ok: 103)
  sample  104:    10609  (running sum:   1124585, n_ok: 104)
  sample  105:    10732  (running sum:   1135317, n_ok: 105)
  sample  106:    10622  (running sum:   1145939, n_ok: 106)
  sample  107:    10683  (running sum:   1156622, n_ok: 107)
  sample  108:    10269  (running sum:   1166891, n_ok: 108)
  sample  109:    10067  (running sum:   1176958, n_ok: 109)
  sample  110:     9832  (running sum:   1186790, n_ok: 110)
  sample  111:     9992  (running sum:   1196782, n_ok: 111)
  sample  112:    10010  (running sum:   1206792, n_ok: 112)
  sample  113:    10505  (running sum:   1217297, n_ok: 113)
  sample  114:    10742  (running sum:   1228039, n_ok: 114)
  sample  115:    10822  (running sum:   1238861, n_ok: 115)
  sample  116:    10923  (running sum:   1249784, n_ok: 116)
  sample  117:    10956  (running sum:   1260740, n_ok: 117)
  sample  118:    10961  (running sum:   1271701, n_ok: 118)
  sample  119:    10999  (running sum:   1282700, n_ok: 119)
  sample  120:    10946  (running sum:   1293646, n_ok: 120)
  sample  121:    10928  (running sum:   1304574, n_ok: 121)
  sample  122:    10951  (running sum:   1315525, n_ok: 122)
  sample  123:    10963  (running sum:   1326488, n_ok: 123)
  sample  124:    10897  (running sum:   1337385, n_ok: 124)
  sample  125:    11195  (running sum:   1348580, n_ok: 125)
  sample  126:    12082  (running sum:   1360662, n_ok: 126)
  sample  127:    11854  (running sum:   1372516, n_ok: 127)
  sample  128:    11789  (running sum:   1384305, n_ok: 128)
  sample  129:    11690  (running sum:   1395995, n_ok: 129)
  sample  130:    11089  (running sum:   1407084, n_ok: 130)
  sample  131:    11154  (running sum:   1418238, n_ok: 131)
  sample  132:    11010  (running sum:   1429248, n_ok: 132)
  sample  133:    10927  (running sum:   1440175, n_ok: 133)
  sample  134:    10855  (running sum:   1451030, n_ok: 134)
  sample  135:    10729  (running sum:   1461759, n_ok: 135)
  sample  136:    10743  (running sum:   1472502, n_ok: 136)
  sample  137:    10817  (running sum:   1483319, n_ok: 137)
  sample  138:    10753  (running sum:   1494072, n_ok: 138)
  sample  139:    10658  (running sum:   1504730, n_ok: 139)
  sample  140:    10540  (running sum:   1515270, n_ok: 140)
  sample  141:    10679  (running sum:   1525949, n_ok: 141)
  sample  142:    10188  (running sum:   1536137, n_ok: 142)
  sample  143:     9760  (running sum:   1545897, n_ok: 143)
  sample  144:     9946  (running sum:   1555843, n_ok: 144)
  sample  145:     9962  (running sum:   1565805, n_ok: 145)
  sample  146:    10128  (running sum:   1575933, n_ok: 146)
  sample  147:    10726  (running sum:   1586659, n_ok: 147)
  sample  148:    11004  (running sum:   1597663, n_ok: 148)
  sample  149:    10958  (running sum:   1608621, n_ok: 149)
  sample  150:    10861  (running sum:   1619482, n_ok: 150)
  sample  151:    10880  (running sum:   1630362, n_ok: 151)
  sample  152:    10838  (running sum:   1641200, n_ok: 152)
  sample  153:    11137  (running sum:   1652337, n_ok: 153)
  sample  154:    10925  (running sum:   1663262, n_ok: 154)
  sample  155:    11063  (running sum:   1674325, n_ok: 155)
  sample  156:    11005  (running sum:   1685330, n_ok: 156)
  sample  157:    10978  (running sum:   1696308, n_ok: 157)
  sample  158:    11127  (running sum:   1707435, n_ok: 158)
  sample  159:    11484  (running sum:   1718919, n_ok: 159)
  sample  160:    12039  (running sum:   1730958, n_ok: 160)
  sample  161:    11840  (running sum:   1742798, n_ok: 161)
  sample  162:    11702  (running sum:   1754500, n_ok: 162)
  sample  163:    11478  (running sum:   1765978, n_ok: 163)
  sample  164:    11034  (running sum:   1777012, n_ok: 164)
  sample  165:    10906  (running sum:   1787918, n_ok: 165)
  sample  166:    10762  (running sum:   1798680, n_ok: 166)
  sample  167:    10741  (running sum:   1809421, n_ok: 167)
  sample  168:    10631  (running sum:   1820052, n_ok: 168)
  sample  169:    10679  (running sum:   1830731, n_ok: 169)
  sample  170:    10542  (running sum:   1841273, n_ok: 170)
  sample  171:    10499  (running sum:   1851772, n_ok: 171)
  sample  172:    10454  (running sum:   1862226, n_ok: 172)
  sample  173:    10402  (running sum:   1872628, n_ok: 173)
  sample  174:    10392  (running sum:   1883020, n_ok: 174)
  sample  175:    10061  (running sum:   1893081, n_ok: 175)
  sample  176:     9709  (running sum:   1902790, n_ok: 176)
